职位,公司,地址,薪酬,标签
JAVA工程师,卓望公司教育事业部,天津,1-1.5万/月,"[[['五险一金'], ['补充医疗保险'], ['餐饮补贴'], ['通讯补贴'], ['绩效奖金'], ['定期体检']], ['天津', '3-4年经验', '本科', '招2人', '09-03发布', '电子信息科学与技术']]"
Java高级开发工程师,广州小马达信息科技有限公司,异地招聘,1.2-1.8万/月,"[[['五险一金'], ['员工旅游'], ['通讯补贴'], ['专业培训'], ['绩效奖金'], ['年终奖金'], ['弹性工作'], ['定期体检']], ['安徽省', '3-4年经验', '本科', '招2人', '09-03发布']]"
Java高级开发工程师,武汉颂大教育科技股份有限公司,武汉-江夏区,1.2-1.8万/月,"[[['五险一金'], ['免费班车'], ['员工旅游'], ['股票期权'], ['绩效奖金'], ['配手机送话费']], ['武汉-江夏区', '5-7年经验', '招2人', '09-03发布']]"
JAVA软件工程师,武汉盈科通信技术有限公司,武汉-江夏区,0.7-1万/月,"[[['五险一金'], ['餐饮补贴'], ['年终奖金'], ['周末双休']], ['武汉-江夏区', '3-4年经验', '本科', '招1人', '09-03发布', '英语熟练']]"
Java开发工程师,常州强森网络科技有限公司,常州-新北区,0.8-1万/月,"[[['五险一金'], ['员工旅游'], ['年终奖金'], ['下午茶'], ['妹子多'], ['老板nice'], ['每年多次调薪']], ['常州-新北区', '2年经验', '大专', '招2人', '09-03发布']]"
java中高级开发工程师,福建信睿网络科技有限公司,福州,0.8-1.3万/月,"[[['五险一金'], ['免费班车'], ['通讯补贴'], ['年终奖金']], ['福州', '无工作经验', '招2人', '09-03发布']]"
高级JAVA工程师,上海卓易科技股份有限公司,上海-徐汇区,1.2-1.8万/月,"[[['五险一金'], ['定期体检'], ['绩效奖金'], ['年终奖金']], ['上海-徐汇区', '3-4年经验', '本科', '招1人', '09-03发布']]"
Java高级开发工程师,广联达科技股份有限公司,西安-未央区,1.5-2万/月,"[[['五险一金'], ['补充医疗保险'], ['餐饮补贴'], ['定期体检'], ['专业培训']], ['西安-未央区', '5-7年经验', '本科', '招3人', '09-03发布']]"
Java开发工程师,上海前隆信息科技有限公司,哈尔滨-南岗区,1-1.5万/月,"[[['五险一金'], ['员工旅游'], ['专业培训'], ['绩效奖金'], ['年终奖金'], ['定期体检']], ['哈尔滨-南岗区', '3-4年经验', '本科', '招1人', '09-03发布']]"
java研发工程师,永乐票务,北京-海淀区,2-2.5万/月,"[[['五险一金'], ['绩效奖金'], ['补充医疗保险']], ['北京-海淀区', '5-7年经验', '本科', '招6人', '09-03发布']]"
APP/JAVA/嵌入式软件应用开发程序员,北京中科思鹏科技有限公司,北京-朝阳区,6-8千/月,"[[['五险一金']], ['北京-朝阳区', '2年经验', '招3人', '09-03发布', '普通话熟练', '计算机科学与技术', '电子信息科学与技术']]"
Java研发经理,昂立教育集团总部,上海,2-2.5万/月,"[[['五险一金'], ['员工旅游'], ['绩效奖金'], ['年终奖金'], ['定期体检'], ['节日福利'], ['生日福利'], ['丰富团建'], ['产品折扣'], ['亲属福利']], ['上海', '8-9年经验', '大专', '招1人', '09-03发布']]"
JAVA软件工程师,上海天臣防伪技术股份有限公司,上海-杨浦区,0.9-1.3万/月,"[[['五险一金'], ['员工旅游'], ['餐饮补贴'], ['专业培训'], ['绩效奖金'], ['年终奖金'], ['定期体检'], ['周末双休'], ['高温补贴']], ['上海-杨浦区', '2年经验', '本科', '招2人', '09-03发布']]"
java助理工程师,协同电子科技（福建）有限公司,福州-仓山区,4-5千/月,"[[['五险一金'], ['年终奖金'], ['绩效奖金']], ['福州-仓山区', '无工作经验', '招1人', '09-03发布']]"
JAVA开发工程师,华夏鑫彩科技有限公司,上海-虹口区,1.5-2万/月,"[[['五险一金'], ['餐饮补贴'], ['绩效奖金']], ['上海-虹口区', '2年经验', '大专', '招2人', '09-03发布']]"
JAVA软件工程师,惠州颐讯信息技术有限公司,惠州,0.8-1.5万/月,"[[['五险一金'], ['年终奖金'], ['员工旅游'], ['绩效奖金']], ['惠州', '2年经验', '大专', '招2人', '09-03发布']]"
Java开发工程师,上海微食信息科技有限公司,上海-徐汇区,1-2万/月,"[[['做五休二'], ['带薪年假'], ['五险一金'], ['绩效奖金'], ['节日福利'], ['专业培训']], ['上海-徐汇区', '2年经验', '本科', '招1人', '09-03发布']]"
Java软件工程师,上海环能新科节能科技股份有限公司,上海-浦东新区,1-1.5万/月,"[[['五险一金'], ['年终奖金'], ['节日福利']], ['上海-浦东新区', '3-4年经验', '本科', '招1人', '09-03发布', '计算机科学与技术']]"
初中级java软件工程师,南昌信道科技有限公司,南昌,5-7千/月,"[[['五险一金'], ['员工旅游'], ['年终奖金'], ['绩效奖金'], ['定期体检']], ['南昌', '2年经验', '本科', '招4人', '09-03发布', '英语良好', '计算机科学与技术', '计算机科学']]"
JAVA主程,深圳市奥术信息科技有限公司,深圳-南山区,2.5-3万/月,"[[['五险一金'], ['交通补贴'], ['绩效奖金'], ['餐饮补贴'], ['年终奖金'], ['股票期权'], ['弹性工作'], ['出国机会'], ['定期体检'], ['员工旅游']], ['深圳-南山区', '3-4年经验', '招若干人', '09-03发布']]"
Java资深开发工程师,大连新视点软件科技有限公司,大连-高新园区,0.8-1.2万/月,"[[['五险一金'], ['年终奖金'], ['交通补贴'], ['餐饮补贴'], ['通讯补贴']], ['大连-高新园区', '无工作经验', '本科', '招若干人', '09-03发布']]"
Java高级开发工程师,北京金斗云辉科技有限公司,西安-莲湖区,1-1.6万/月,"[[['五险一金'], ['员工旅游'], ['专业培训'], ['弹性工作'], ['年终奖金'], ['过节福利'], ['员工生日福利'], ['带薪年假']], ['西安-莲湖区', '5-7年经验', '大专', '招3人', '09-03发布']]"
Java高级软件工程师,山东恒远智能科技有限公司,烟台,6-8千/月,"[[['五险一金'], ['餐饮补贴'], ['绩效奖金'], ['年底双薪'], ['带薪年假'], ['员工旅游'], ['节日福利'], ['周末双休']], ['烟台', '3-4年经验', '本科', '招1人', '09-03发布']]"
Java开发工程师,福建鸣世天下珠宝有限公司,福州,5-7千/月,"[[['五险'], ['全勤奖'], ['工龄补贴'], ['年终奖金']], ['福州', '1年经验', '大专', '招1人', '09-03发布']]"
